author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Гранд недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315371938/;Москва;sale;flat;10;22;1;34.2;18500000;Зюзино;Чонгарский бульвар;26Ак1;Каховская;
Ирина Булычева;realtor;https://www.cian.ru/sale/flat/315371927/;Москва;sale;flat;2;26;1;47.4;19500000;Кунцево;Ярцевская ;24К1;Молодёжная;Ярцевская 24
ID 43566789;realtor;https://www.cian.ru/sale/flat/315371812/;Москва;sale;flat;8;14;1;39.0;11900000;Северное Бутово;Старобитцевская ;21К1;Улица Старокачаловская;
Сергей Алексеев;realtor;https://www.cian.ru/sale/flat/315371424/;Москва;sale;flat;7;17;1;37.7;8850000;Некрасовка;Рождественская ;18;Некрасовка;
ID 13051331;unknown;https://www.cian.ru/sale/flat/315371302/;Москва;sale;flat;2;17;2;58.4;22000000;Хорошевский;3-й Хорошевский проезд;8;Беговая;
ID 54788148;unknown;https://www.cian.ru/sale/flat/315371201/;Москва;sale;flat;9;10;1;45.1;28500000;Лефортово;проезд Шелихова;1к2;Площадь Ильича;Символ
ID 526064;unknown;https://www.cian.ru/sale/flat/315371101/;Москва;sale;flat;24;33;2;32.1;13600000;Очаково-Матвеевское;проезд Стройкомбината;1;Очаково;Новое Очаково
Trif Estate;real_estate_agent;https://www.cian.ru/sale/flat/315370841/;Москва;sale;flat;6;8;2;117.9;180540000;Таганский;Тессинский переулок;1;Чкаловская;Тессинский, 1
Алексей Князев;realtor;https://www.cian.ru/sale/flat/315370781/;Москва;sale;flat;2;17;1;38.0;11200000;Можайский; Горбунова;17к2;Сетунь;
Марина Фарафонова;realtor;https://www.cian.ru/sale/flat/315370279/;Москва;sale;flat;8;17;2;61.0;18200000;Ховрино;Зеленоградская ;17К5;Грачёвская;
Макромир;real_estate_agent;https://www.cian.ru/sale/flat/315370200/;Москва;sale;flat;9;33;2;50.0;19500000;Очаково-Матвеевское;проезд Стройкомбината;1;Очаково;Новое Очаково
Юлиана Волошина;realtor;https://www.cian.ru/sale/flat/315369818/;Москва;sale;flat;5;19;2;100.0;76000000;Раменки;Ломоносовский проспект;25к2;Университет;Dominion
Бест на Речном;real_estate_agent;https://www.cian.ru/sale/flat/315369577/;Москва;sale;flat;5;12;2;102.0;65000000;Красносельский;Верхняя Красносельская ;9;Красносельская;
Стоун Бридж эстейт;real_estate_agent;https://www.cian.ru/sale/flat/315369370/;Москва;sale;flat;13;18;2;82.79;29500000;Коптево;Большая Академическая ;67;Лихоборы;
Наталья Залоило;realtor;https://www.cian.ru/sale/flat/315369020/;Москва;sale;flat;16;17;1;33.8;11100000;; Александры Монаховой;83;Потапово;Бунинские луга
ID 11269891;realtor;https://www.cian.ru/sale/flat/315368617/;Москва;sale;flat;11;19;1;39.0;21700000;Покровское-Стрешнево;Волоколамское шоссе;71к2;Спартак;Город на Реке Тушино-2018
ID 129192836;homeowner;https://www.cian.ru/sale/flat/315368616/;Москва;sale;flat;24;33;1;40.0;14000000;Южное Бутово; Поляны;5Ак3;Улица Скобелевская;Столичные поляны
Светлана Горбанёва;realtor;https://www.cian.ru/sale/flat/315368485/;Москва;sale;flat;17;33;1;34.0;19990000;Очаково-Матвеевское;Очаковское шоссе;5к6;Аминьевская;Матвеевский парк
Владис Дмитров;real_estate_agent;https://www.cian.ru/sale/flat/315368401/;Москва;sale;flat;21;22;1;38.5;20500000;Хорошево-Мневники; Маршала Тухачевского;37/21;Бульвар Генерала Карбышева;Union Park
Роман Живаев;realtor;https://www.cian.ru/sale/flat/315368264/;Москва;sale;flat;9;19;1;43.0;26000000;Академический;Профсоюзная ;2/22;Академическая;Level Академическая
CENTURY 21 Перспектива;real_estate_agent;https://www.cian.ru/sale/flat/315368224/;Москва;sale;flat;4;10;1;38.5;10500000;Выхино-Жулебино;Привольная ;27К1;Лермонтовский проспект;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315368198/;Москва;sale;flat;2;21;1;36.0;16000000;Хорошевский; Полины Осипенко;2к2;Беговая;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315368139/;Москва;sale;flat;10;17;1;41.0;17499000;Зюзино;Севастопольский проспект;71к1;Зюзино;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315368026/;Москва;sale;flat;13;33;1;42.2;31000000;Хорошево-Мневники;Причальный проезд;10к1;Шелепиха;Level Причальный
Елена Токмаджян;realtor;https://www.cian.ru/sale/flat/315367981/;Москва;sale;flat;11;17;2;57.0;26500000;Фили-Давыдково;Кастанаевская ;44Ак2;Пионерская;
ID 102094144;homeowner;https://www.cian.ru/sale/flat/315367977/;Москва;sale;flat;3;16;1;38.4;13800000;Солнцево;Производственная ;10к2;Солнцево;Лучи
Роман Живаев;realtor;https://www.cian.ru/sale/flat/315367891/;Москва;sale;flat;10;15;2;68.2;51000000;Даниловский;;;Тульская;Дом 7 Даниловский ЖК
ID 498580;realtor;https://www.cian.ru/sale/flat/315367575/;Москва;sale;flat;13;22;2;58.2;14990000;Бескудниковский;Дмитровское шоссе;64К4;Верхние Лихоборы;
;;https://www.cian.ru/sale/flat/315367540/;Москва;sale;flat;20;32;2;57.6;23136537;Головинский;Кронштадтский бульвар;9к6;Водный стадион;Кронштадтский 9
;;https://www.cian.ru/sale/flat/315367539/;Москва;sale;flat;2;21;1;36.1;17055950;Головинский;Кронштадтский бульвар;9к6;Водный стадион;Кронштадтский 9
;;https://www.cian.ru/sale/flat/315367366/;Москва;sale;flat;7;11;1;41.7;11172188;Молжаниновский;Ленинградское шоссе;229Вк1;Новоподрезково;Молжаниново
ID 129191241;homeowner;https://www.cian.ru/sale/flat/315367343/;Москва;sale;flat;17;49;1;39.0;20700000;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
MR Group;developer;https://www.cian.ru/sale/flat/315367104/;Москва;sale;flat;3;7;2;130.0;325000000;Тверской;Никольская ;8;Площадь Революции;Nicole
MR Group;developer;https://www.cian.ru/sale/flat/315367103/;Москва;sale;flat;5;7;1;75.5;256700000;Тверской;Никольская ;8;Площадь Революции;Nicole
MR Group;developer;https://www.cian.ru/sale/flat/315367100/;Москва;sale;flat;5;7;2;167.9;537280000;Тверской;Никольская ;8;Площадь Революции;Nicole
MR Group;developer;https://www.cian.ru/sale/flat/315367099/;Москва;sale;flat;4;7;2;148.5;408375000;Тверской;Никольская ;8;Площадь Революции;Nicole
MR Group;developer;https://www.cian.ru/sale/flat/315367098/;Москва;sale;flat;4;7;1;100.7;276925000;Тверской;Никольская ;8;Площадь Революции;Nicole
ID 109508857;homeowner;https://www.cian.ru/sale/flat/315367069/;Москва;sale;flat;15;20;-1;53.3;8000000;Академический;Новочеремушкинская ;35;Профсоюзная;
Диана Музыка;realtor;https://www.cian.ru/sale/flat/315366936/;Москва;sale;flat;14;20;2;66.0;62800000;Пресненский;Мантулинская ;9к2;Москва-Сити;City Park
Владислав Сахнов;realtor;https://www.cian.ru/sale/flat/315366723/;Москва;sale;flat;3;25;2;54.0;35900000;Замоскворечье;;;Павелецкая;Воксхолл ЖК
Андрей Калистратов;realtor;https://www.cian.ru/sale/flat/315366621/;Москва;sale;flat;41;62;1;38.0;27000000;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение;Wellton Towers
Группа Родина;developer;https://www.cian.ru/sale/flat/315366349/;Москва;sale;flat;10;31;2;33.2;13380000;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
ID 35315216;realtor;https://www.cian.ru/sale/flat/315366145/;Москва;sale;flat;13;21;1;40.0;24899000;Хорошево-Мневники; Мневники;5;Народное Ополчение;Городской квартал BIG TIME
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315365958/;Москва;sale;flat;8;16;1;48.4;15000000;Кунцево;Рублевское шоссе;20К1;Молодёжная;
Спутник;real_estate_agent;https://www.cian.ru/sale/flat/315365792/;Москва;sale;flat;2;17;1;37.4;10500000;Некрасовка; Недорубова;20к2;Некрасовка;Некрасовка
Комета Эстейт;real_estate_agent;https://www.cian.ru/sale/flat/315365717/;Москва;sale;flat;3;17;1;36.7;9200000;Некрасовка; Вертолетчиков;2Ак2;Некрасовка;В Некрасовке-2 (1 очередь)
ID 107821731;homeowner;https://www.cian.ru/sale/flat/315365638/;Москва;sale;flat;11;14;1;48.5;31000000;Даниловский; Архитектора Щусева;2к1;ЗИЛ;ЗИЛАРТ
ID 195669;realtor;https://www.cian.ru/sale/flat/315365591/;Москва;sale;flat;19;25;1;40.0;22770000;Черемушки;Херсонская ;41;Зюзино;
Андрей Бережняк;realtor;https://www.cian.ru/sale/flat/315365451/;Москва;sale;flat;3;9;2;53.3;15000000;Южное Бутово;Бартеневская ;57К1;Бунинская аллея;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315364808/;Москва;sale;flat;8;33;1;33.5;14990000;Очаково-Матвеевское;Большая Очаковская ;2К2;Аминьевская;Большая Очаковская 2
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315364805/;Москва;sale;flat;12;17;2;65.1;15000000;;;4;Троицк;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315364804/;Москва;sale;flat;6;16;2;55.7;12300000;; Садовая;9;Щербинка;Щербинка, ул. Садовая
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315364779/;Москва;sale;flat;7;48;1;55.5;32500000;Ростокино; Вильгельма Пика;3С1;Ботанический сад;Режиссёр
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/315364765/;Москва;sale;flat;10;35;2;50.1;19500000;Войковский; Адмирала Макарова;2С26;Балтийская;Яркий квартал Injoy
Роман Гросов;realtor;https://www.cian.ru/sale/flat/315364764/;Москва;sale;flat;9;14;1;42.2;21500000;Пресненский;Шмитовский проезд;39к6;Шелепиха;Headliner
Ольга Тормышова;realtor;https://www.cian.ru/sale/flat/315364722/;Москва;sale;flat;2;18;2;55.1;22200000;Фили-Давыдково;Кастанаевская ;44Ак2;Пионерская;
Метражи group;real_estate_agent;https://www.cian.ru/sale/flat/315363996/;Москва;sale;flat;5;10;1;51.4;12850000;;;5;Силикатная;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315363992/;Москва;sale;flat;7;14;2;61.0;12400000;; Чароитовая;1к4;Кедровая;Кленовые Аллеи
ID 125437192;homeowner;https://www.cian.ru/sale/flat/315363784/;Москва;sale;flat;20;33;1;45.2;13700000;Южное Бутово; Поляны;5Ак5;Улица Скобелевская;Столичные поляны
Центр управления недвижимостью;real_estate_agent;https://www.cian.ru/sale/flat/315363698/;Москва;sale;flat;6;32;2;38.8;22860000;Бутырский; Руставели;16к1;Бутырская;Руставели 14
Иван Козеев;realtor;https://www.cian.ru/sale/flat/315363443/;Москва;sale;flat;2;17;2;68.8;15500000;Косино-Ухтомский; Наташи Качуевской;4;Улица Дмитриевского;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/315362844/;Москва;sale;flat;12;28;2;61.0;21655000;Отрадное;Отрадная ;4А;Отрадное;Малевич
Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/315362518/;Москва;sale;flat;18;19;1;46.0;15500000;Дмитровский;Долгопрудная ;7;Лианозово;
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/315362335/;Москва;sale;flat;11;46;2;43.0;21380000;Обручевский; Академика Волгина;2;Калужская;Архитектор
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315362289/;Москва;sale;flat;7;17;2;53.6;29490000;Хорошево-Мневники;проспект Маршала Жукова;43К3;Бульвар Генерала Карбышева;Wellton park
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315362282/;Москва;sale;flat;4;14;1;39.0;11855000;; Потаповская Роща;26к2;Потапово;Белые ночи
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315362270/;Москва;sale;flat;9;15;2;54.0;16850000;; Василия Ощепкова;1;Новомосковская;Москвичка
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/315361936/;Москва;sale;flat;10;19;1;37.5;12000000;; Самуила Маршака;1;Мичуринец;Переделкино Ближнее Город-парк
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/315361450/;Москва;sale;flat;6;15;1;44.0;15800000;; Татьянин Парк;14к1;Говорово;Татьянин Парк
INGRAD;developer;https://www.cian.ru/sale/flat/315360960/;Москва;sale;flat;21;21;1;40.3;27280000;Даниловский; Виктора Маслова;2;Автозаводская;RiverSky
INGRAD;developer;https://www.cian.ru/sale/flat/315360955/;Москва;sale;flat;21;21;2;47.76;34560000;Даниловский; Виктора Маслова;2;Автозаводская;RiverSky
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/315360852/;Москва;sale;flat;7;25;1;34.0;15300000;Нижегородский;Рязанский проспект;2/2к1;Нижегородская;Аквилон Beside
ID 9116;realtor;https://www.cian.ru/sale/flat/315360174/;Москва;sale;flat;11;13;2;69.8;37000000;Раменки;Винницкая ;8к4;Раменки;Настоящее
INGRAD;developer;https://www.cian.ru/sale/flat/315360062/;Москва;sale;flat;26;26;2;63.86;33440000;Нагорный;Электролитный проезд;7;Нагорная;TopHills
INGRAD;developer;https://www.cian.ru/sale/flat/315360055/;Москва;sale;flat;25;26;2;66.59;36280000;Нагорный;Электролитный проезд;7;Нагорная;TopHills
INGRAD;developer;https://www.cian.ru/sale/flat/315359988/;Москва;sale;flat;3;19;2;57.51;34130000;Даниловский;Г мкр;7;Пролетарская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359972/;Москва;sale;flat;2;19;2;80.67;46950000;Даниловский;Г мкр;7;Пролетарская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359970/;Москва;sale;flat;2;19;2;62.07;41160000;Даниловский;Г мкр;7;Пролетарская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359967/;Москва;sale;flat;15;16;1;45.85;31720000;Даниловский;Г мкр;9;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359961/;Москва;sale;flat;3;14;2;72.89;35990000;Даниловский;Г мкр;9;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359956/;Москва;sale;flat;15;16;2;64.94;41210000;Даниловский;Г мкр;9;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359951/;Москва;sale;flat;3;12;2;53.53;32310000;Даниловский;Г мкр;9;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359947/;Москва;sale;flat;10;14;1;48.94;31360000;Даниловский;Г мкр;9;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359945/;Москва;sale;flat;14;16;1;50.29;32720000;Даниловский;Г мкр;9;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359936/;Москва;sale;flat;12;14;2;72.0;42570000;Даниловский;Г мкр;9;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359931/;Москва;sale;flat;10;14;2;77.27;41630000;Даниловский;Г мкр;9;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359848/;Москва;sale;flat;3;19;1;52.94;32680000;Даниловский;Г мкр;11;Пролетарская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359841/;Москва;sale;flat;2;19;2;62.05;39350000;Даниловский;Г мкр;11;Пролетарская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359805/;Москва;sale;flat;14;14;2;63.24;37530000;Даниловский;Г мкр;8;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359803/;Москва;sale;flat;13;14;2;64.15;41040000;Даниловский;Г мкр;8;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359800/;Москва;sale;flat;11;14;1;43.62;29650000;Даниловский;Г мкр;8;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359790/;Москва;sale;flat;11;14;2;65.92;42670000;Даниловский;Г мкр;8;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359788/;Москва;sale;flat;13;14;1;43.03;30380000;Даниловский;Г мкр;8;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359785/;Москва;sale;flat;13;14;2;61.69;40790000;Даниловский;Г мкр;8;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359781/;Москва;sale;flat;11;14;1;44.92;30170000;Даниловский;Г мкр;8;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359776/;Москва;sale;flat;9;14;1;48.25;29610000;Даниловский;Г мкр;8;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359770/;Москва;sale;flat;15;16;2;59.7;35320000;Даниловский;Г мкр;8;Автозаводская;Форивер ЖК
ID 128603009;homeowner;https://www.cian.ru/sale/flat/315359756/;Москва;sale;flat;1;10;1;38.7;12900000;Марьина роща;Старомарьинское шоссе;23;Марьина Роща;
INGRAD;developer;https://www.cian.ru/sale/flat/315359754/;Москва;sale;flat;12;16;2;74.04;39580000;Даниловский;Г мкр;8;Автозаводская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359614/;Москва;sale;flat;18;19;2;71.96;42930000;Даниловский;Г мкр;4;Пролетарская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359599/;Москва;sale;flat;13;19;2;82.58;47430000;Даниловский;Г мкр;4;Пролетарская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359593/;Москва;sale;flat;10;19;2;77.11;50380000;Даниловский;Г мкр;4;Пролетарская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359567/;Москва;sale;flat;2;19;2;82.76;51070000;Даниловский;Г мкр;5;Пролетарская;Форивер ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315359566/;Москва;sale;flat;2;19;2;61.97;40290000;Даниловский;Г мкр;5;Пролетарская;Форивер ЖК
Ирина Красавина;realtor;https://www.cian.ru/sale/flat/315358416/;Москва;sale;flat;28;36;2;52.0;26500000;Пресненский;Мукомольный проезд;2;Москва-Сити;
INGRAD;developer;https://www.cian.ru/sale/flat/315357037/;Москва;sale;flat;32;32;2;99.0;49770000;Войковский; Адмирала Макарова;;Балтийская;Яркий квартал Injoy
INGRAD;developer;https://www.cian.ru/sale/flat/315356983/;Москва;sale;flat;33;33;2;107.6;48790000;Войковский; Адмирала Макарова;;Балтийская;Яркий квартал Injoy
ID 61907116;homeowner;https://www.cian.ru/sale/flat/315356520/;Москва;sale;flat;14;32;2;46.3;21450000;Головинский;Кронштадтский бульвар;9к6;Водный стадион;Кронштадтский 9
INGRAD;developer;https://www.cian.ru/sale/flat/315356452/;Москва;sale;flat;2;12;2;73.1;35980000;Войковский; Адмирала Макарова;;Балтийская;Яркий квартал Injoy
INGRAD;developer;https://www.cian.ru/sale/flat/315356380/;Москва;sale;flat;2;12;2;58.9;28720000;Войковский; Адмирала Макарова;;Балтийская;Яркий квартал Injoy
Московский Риэлторский Центр;real_estate_agent;https://www.cian.ru/sale/flat/315356269/;Москва;sale;flat;34;37;1;31.0;18450000;Раменки;Мосфильмовская ;98к2;Аминьевская;Огни
ID 585815;realtor;https://www.cian.ru/sale/flat/315356036/;Москва;sale;flat;10;26;1;56.0;20000000;Чертаново Северное;Балаклавский проспект;15;Чертановская;Балаклавский проспект, 15
INGRAD;developer;https://www.cian.ru/sale/flat/315355756/;Москва;sale;flat;2;35;2;76.4;35880000;Войковский; Адмирала Макарова;;Балтийская;Яркий квартал Injoy
АТН-Холдинг;real_estate_agent;https://www.cian.ru/sale/flat/315355555/;Москва;sale;flat;20;24;2;57.0;16200000;Люблино;Люблинская ;76к5;Перерва;Люблинский парк
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/315355403/;Москва;sale;flat;3;7;2;120.0;140000000;Арбат;Староконюшенный переулок;45;Арбатская;Клубный дом на Арбате
ИНФИНИТИ;real_estate_agent;https://www.cian.ru/sale/flat/315354928/;Москва;sale;flat;5;24;1;40.0;36000000;Хорошевский;Хорошевское шоссе;25Ак3;Полежаевская;Династия
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/315354896/;Москва;sale;flat;2;5;2;103.0;120000000;Тверской;Никольская ;10/2С2б;Лубянка;St. Nickolas
Максим Бурлаков;realtor;https://www.cian.ru/sale/flat/315354837/;Москва;sale;flat;29;43;1;37.7;22900000;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/315354598/;Москва;sale;flat;5;24;1;40.0;33000000;Хорошевский;Хорошевское шоссе;25Ак3;Хорошёвская;Династия
Место;real_estate_agent;https://www.cian.ru/sale/flat/315354171/;Москва;sale;flat;4;16;2;49.2;27000000;Свиблово;Снежная ;вл22к3;Свиблово;The Lake
Forma;developer;https://www.cian.ru/sale/flat/315354033/;Москва;sale;flat;17;27;1;45.7;27346880;Аэропорт;2-й Амбулаторный проезд;18;Сокол;SOUL
Vmestate;real_estate_agent;https://www.cian.ru/sale/flat/315354023/;Москва;sale;flat;7;17;2;60.3;16200000;Северный;9-я Северная линия;25к1;Физтех;
ID 127427892;realtor;https://www.cian.ru/sale/flat/315353909/;Москва;sale;flat;9;24;1;41.2;20000000;Филевский парк;Барклая ;6Ак1;Багратионовская;Барклая 6
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/315353869/;Москва;sale;flat;24;33;2;60.0;26960000;Бутырский; Руставели;16к2;Бутырская;Руставели 14
Moscow Estate;real_estate_agent;https://www.cian.ru/sale/flat/315353817/;Москва;sale;flat;39;67;2;73.2;91500000;Пресненский;Краснопресненская набережная;14Ак1;Москва-Сити;Capital Towers
Самолет плюс Троицк;real_estate_agent;https://www.cian.ru/sale/flat/315352504/;Москва;sale;flat;12;16;2;57.0;12000000;;;52;Троицк;
Прайм Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315352099/;Москва;sale;flat;10;32;2;52.0;31940000;Даниловский;;;Павелецкая;Хай Лайф ЖК
Навигатор;real_estate_agent;https://www.cian.ru/sale/flat/315352079/;Москва;sale;flat;2;18;1;42.0;12900000;Коптево; Лихоборские Бугры;12;Лихоборы;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315352049/;Москва;sale;flat;13;16;2;53.7;23800000;Таганский; Талалихина;1К2;Пролетарская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315352046/;Москва;sale;flat;15;21;2;41.3;34000000;Хорошевский;Хорошевское шоссе;25Ак3;Хорошёвская;Династия
Ярослав Спиридонов;realtor;https://www.cian.ru/sale/flat/315351764/;Москва;sale;flat;27;37;1;63.0;29000000;Академический;проспект 60-летия Октября;17;Академическая;Новые Черемушки
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315351476/;Москва;sale;flat;26;34;1;39.2;19700000;Обручевский;;;Воронцовская;Эвер ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315351454/;Москва;sale;flat;11;17;1;39.0;13100000;Ховрино;Зеленоградская ;17К5;Грачёвская;
Анна Романова;realtor;https://www.cian.ru/sale/flat/315351377/;Москва;sale;flat;20;20;1;43.0;15500000;Соколиная гора; 3-я Соколиной Горы;9;Шоссе Энтузиастов;
ID 13080131;homeowner;https://www.cian.ru/sale/flat/315350807/;Москва;sale;flat;28;33;1;37.2;18900000;Очаково-Матвеевское;Очаковское шоссе;5к2;Аминьевская;Матвеевский парк
МИРА;real_estate_agent;https://www.cian.ru/sale/flat/315350578/;Москва;sale;flat;14;19;1;37.9;11600000;Некрасовка; Липчанского;2;Некрасовка;Некрасовка
Vmestate;real_estate_agent;https://www.cian.ru/sale/flat/315350482/;Москва;sale;flat;2;17;2;50.1;24000000;Раменки; Столетова;19;Раменки;Мичуринский
Василий Дулько;realtor;https://www.cian.ru/sale/flat/315350350/;Москва;sale;flat;6;16;1;41.8;13500000;Соколиная гора; 8-я Соколиной Горы;8к2;Соколиная гора;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/315350229/;Москва;sale;flat;18;28;1;33.0;19500000;Нагатино-Садовники;Варшавское шоссе;37Ак3;Нагатинская;Rotterdam
Александр Кузнецов;realtor;https://www.cian.ru/sale/flat/315350086/;Москва;sale;flat;14;60;2;75.0;32000000;Пресненский;Шмитовский проезд;39к5;Шелепиха;Headliner
БЕСТ недвижимость на Тверской;real_estate_agent;https://www.cian.ru/sale/flat/315350059/;Москва;sale;flat;5;14;2;85.6;16500000;;;2;Силикатная;
ИНКОМ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315349986/;Москва;sale;flat;16;17;2;53.0;13000000;Братеево;Братеевская ;10К1;Алма-Атинская;
ID 19613874;realtor;https://www.cian.ru/sale/flat/315349871/;Москва;sale;flat;6;16;1;33.2;9800000;;проспект Куприна;1к1;Потапово;Скандинавия
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315349687/;Москва;sale;flat;2;17;2;67.0;18000000;; Малое Понизовье;8к2;Филатов Луг;Саларьево парк
Фатюхин и Ко;real_estate_agent;https://www.cian.ru/sale/flat/315349584/;Москва;sale;flat;18;20;2;61.0;21500000;Соколиная гора;Вольная ;28/4к3;Соколиная гора;Семеновский парк
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315349077/;Москва;sale;flat;1;9;1;40.4;11300000;Южное Бутово; Академика Семенова;5;Бунинская аллея;
ID 33485133;homeowner;https://www.cian.ru/sale/flat/315349064/;Москва;sale;flat;16;16;2;51.0;10900000;Южное Бутово;1-я Мелитопольская ;4;Бутово;
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/315348815/;Москва;sale;flat;24;25;1;47.0;15500000;Ново-Переделкино;Лукинская ;10;Переделкино;
Добрый Дом;real_estate_agent;https://www.cian.ru/sale/flat/315348669/;Москва;sale;flat;10;17;2;60.6;18900000;Филевский парк;Филевский бульвар;36;Мнёвники;
Upright Estate;real_estate_agent;https://www.cian.ru/sale/flat/315348657/;Москва;sale;flat;5;18;2;58.0;22800000;Даниловский;проспект Лихачева;22;Технопарк;Nagatino i-Land
Простор-недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315348441/;Москва;sale;flat;13;31;1;45.5;27800000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Евгений Собянин;realtor;https://www.cian.ru/sale/flat/315348344/;Москва;sale;flat;15;39;2;51.5;28800000;Западное Дегунино;Ильменский проезд;14к8;Селигерская;Селигер Сити
ID 56884767;realtor;https://www.cian.ru/sale/flat/315348028/;Москва;sale;flat;10;11;2;71.8;33500000;Хорошевский; Куусинена;21А;Зорге;
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/315347213/;Москва;sale;flat;8;28;2;57.0;59000000;Якиманка;Мытная ;40к4;Октябрьская;Sky House
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/315347210/;Москва;sale;flat;2;17;2;53.1;22000000;Коньково; Академика Волгина;14К3;Университет Дружбы Народов;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315346085/;Москва;sale;flat;9;20;1;32.9;12000000;Солнцево;;;Солнцево;Лучи ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315346066/;Москва;sale;flat;22;47;2;73.3;31200000;Обручевский; Академика Волгина;2;Калужская;Архитектор
