author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315558170/;Москва;sale;flat;3;52;1;38.32;13300000;Покровское-Стрешнево;Волоколамское шоссе;95/1к7;Трикотажная;City Bay
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315558144/;Москва;sale;flat;9;17;2;58.6;15500000;Митино;Дубравная ;40;Митино;
Top Realty;real_estate_agent;https://www.cian.ru/sale/flat/315557992/;Москва;sale;flat;7;19;2;68.0;48100000;Беговой;Ленинградский проспект;29к2;Динамо;Царская площадь
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/315557965/;Москва;sale;flat;6;24;1;47.0;27400000;Тропарево-Никулино;проспект Вернадского;80;Юго-Западная;Клубный дом Full House
Эльвира Ануварова;realtor;https://www.cian.ru/sale/flat/315557898/;Москва;sale;flat;16;23;2;65.8;35870450;Аэропорт;2-й Амбулаторный проезд;;Красный Балтиец;SOUL
Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315557118/;Москва;sale;flat;2;13;1;31.2;8500000;; Яворки;1к4;Ватутинки;Кленовые Аллеи
Novel Estates;real_estate_agent;https://www.cian.ru/sale/flat/315556893/;Москва;sale;flat;18;24;2;71.0;32000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
МГН-495;real_estate_agent;https://www.cian.ru/sale/flat/315556597/;Москва;sale;flat;2;15;2;54.5;17500000;; Малое Понизовье;4;Филатов Луг;Саларьево парк
ID 129349572;homeowner;https://www.cian.ru/sale/flat/315556448/;Москва;sale;flat;33;44;2;62.07;35000000;Марьина роща; 4-я Марьиной рощи;12К3;Марьина Роща;Mod
Арсенал;real_estate_agent;https://www.cian.ru/sale/flat/315556413/;Москва;sale;flat;12;20;1;40.3;14100000;Отрадное;Нововладыкинский проезд;1к2;Окружная;Поколение
FALCON GROUP;real_estate_agent;https://www.cian.ru/sale/flat/315556109/;Москва;sale;flat;6;10;2;64.75;66900000;Дорогомилово; Братьев Фонченко;1к8;Парк Победы;
ЕРЦН;real_estate_agent;https://www.cian.ru/sale/flat/315555955/;Москва;sale;flat;9;17;1;42.0;21900000;Можайский; Красных Зорь;33А;Рабочий посёлок;Манифест
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/315555534/;Москва;sale;flat;6;12;1;41.1;25100000;Даниловский; Мустая Карима;12;Технопарк;WOW
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315555507/;Москва;sale;flat;19;20;1;42.0;19200000;Марьина роща;Анненская ;6;Марьина Роща;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315555503/;Москва;sale;flat;11;17;2;45.5;18200000;Хорошево-Мневники; Генерала Глаголева;19К1;Бульвар Генерала Карбышева;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315555480/;Москва;sale;flat;4;9;2;40.2;16800000;Очаково-Матвеевское;;;Озёрная;Страна Озерная ЖК
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/315555379/;Москва;sale;flat;19;34;2;71.0;30200000;Обручевский; Архитектора Власова;71к2;Воронцовская;Ever
Прайм Холдингс;real_estate_agent;https://www.cian.ru/sale/flat/315555167/;Москва;sale;flat;19;45;1;45.6;14500000;Бескудниковский;Дмитровское шоссе;вл89;Селигерская;Дмитровское шоссе, вл89
ИНКОМ-Недвижимость. Аренда;real_estate_agent;https://www.cian.ru/sale/flat/315552711/;Москва;sale;flat;10;17;1;38.2;13500000;Зюзино;Симферопольский бульвар;14К3;Каховская;
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/315552435/;Москва;sale;flat;17;24;2;55.0;14562147;Люблино;Люблинская ;76к5;Перерва;Люблинский парк
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/315552386/;Москва;sale;flat;2;16;2;77.6;25000000;Теплый Стан; Академика Виноградова;1;Генерала Тюленева;Тёплый Край
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/315552319/;Москва;sale;flat;17;44;2;120.0;102000000;Раменки;Минская ;2;Минская;Долина Сетунь
Юлия Колчеева;realtor;https://www.cian.ru/sale/flat/315551706/;Москва;sale;flat;11;16;1;42.3;15200000;Черемушки; Наметкина;13к2;Новые Черёмушки;
Татьяна Зайдуллина;realtor;https://www.cian.ru/sale/flat/315551411/;Москва;sale;flat;9;16;1;40.1;23000000;Южнопортовый; 1-я Машиностроения;7;Дубровка;Клубный дом Vitality
Акрополь;real_estate_agent;https://www.cian.ru/sale/flat/315551257/;Москва;sale;flat;15;19;2;57.0;13200000;Некрасовка; Вертолетчиков;4к5;Некрасовка;Некрасовка
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315551044/;Москва;sale;flat;13;22;1;38.8;10500000;Марьино;Белореченская ;22/66;Люблино;
Татьяна Зайдуллина;realtor;https://www.cian.ru/sale/flat/315550839/;Москва;sale;flat;3;16;1;42.7;24000000;Южнопортовый; 1-я Машиностроения;7;Дубровка;Клубный дом Vitality
ЕСН;real_estate_agent;https://www.cian.ru/sale/flat/315550121/;Москва;sale;flat;3;8;2;53.3;13900000;Южное Бутово;Южнобутовская ;86К1;Бунинская аллея;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315549515/;Москва;sale;flat;3;9;1;30.8;8500000;Северный;бульвар Академика Ландау;3;Физтех;Северный
ID 97986183;unknown;https://www.cian.ru/sale/flat/315549440/;Москва;sale;flat;8;18;2;63.0;34900000;Академический;Новочеремушкинская ;17;Академическая;Новочеремушкинская 17
Парус;real_estate_agent;https://www.cian.ru/sale/flat/315549393/;Москва;sale;flat;3;15;2;56.6;22000000;Таганский; Мельникова;2;Волгоградский проспект;на Мельникова, 2
ИНФИНИТИ;real_estate_agent;https://www.cian.ru/sale/flat/315548770/;Москва;sale;flat;20;22;1;60.8;21200000;Марьино;Донецкая ;30к1;Курьяново;Домашний
Karlson Realty;real_estate_agent;https://www.cian.ru/sale/flat/315548747/;Москва;sale;flat;17;33;1;49.8;18000000;Очаково-Матвеевское;Очаково мкр;;Очаково;Новое Очаково ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315548616/;Москва;sale;flat;17;17;1;35.2;14500000;Печатники;;1;Перерва;Квартал на воде ЖК
ATRIUM;real_estate_agent;https://www.cian.ru/sale/flat/315548170/;Москва;sale;flat;8;24;2;82.0;27500000;Митино; Генерала Белобородова;24;Пенягино;
